Accident_ID,Accident_Date,Vehicle_Type,Casualty_Severity,Road_Type,Road_Surface,Location,Light_Conditions
64,2022-03-05,Bus,Slight,One way street,Dry,Rural,Dark
65,2022-03-06,Cycle,Serious,Slip road,Wet,Urban,Daylight
66,2022-03-07,Car,Fatal,Single carriageway,Snow/Fog,Rural,Dark
67,2022-03-08,Bike,Slight,Dual carriageway,Dry,Urban,Daylight
68,2022-03-09,Truck,Serious,Roundabout,Wet,Rural,Dark
69,2022-03-10,Bus,Fatal,One way street,Snow/Fog,Urban,Daylight
70,2022-03-11,Cycle,Slight,Slip road,Dry,Rural,Dark
71,2022-03-12,Car,Serious,Single carriageway,Wet,Urban,Daylight
72,2022-03-13,Bike,Fatal,Dual carriageway,Snow/Fog,Rural,Dark
73,2022-03-14,Truck,Slight,Roundabout,Dry,Urban,Daylight
74,2022-03-15,Bus,Serious,One way street,Wet,Rural,Dark
75,2022-03-16,Cycle,Fatal,Slip road,Snow/Fog,Urban,Daylight
76,2022-03-17,Car,Slight,Single carriageway,Dry,Rural,Dark
77,2022-03-18,Bike,Serious,Dual carriageway,Wet,Urban,Daylight
78,2022-03-19,Truck,Fatal,Roundabout,Snow/Fog,Rural,Dark
79,2022-03-20,Bus,Slight,One way street,Dry,Urban,Daylight
80,2022-03-21,Cycle,Serious,Slip road,Wet,Rural,Dark
81,2022-03-22,Car,Fatal,Single carriageway,Snow/Fog,Urban,Daylight
82,2022-03-23,Bike,Slight,Dual carriageway,Dry,Rural,Dark
83,2022-03-24,Truck,Serious,Roundabout,Wet,Urban,Daylight
84,2022-03-25,Bus,Fatal,One way street,Snow/Fog,Rural,Dark
85,2022-03-26,Cycle,Slight,Slip road,Dry,Urban,Daylight
86,2022-03-27,Car,Serious,Single carriageway,Wet,Rural,Dark
87,2022-03-28,Bike,Fatal,Dual carriageway,Snow/Fog,Urban,Daylight
88,2022-03-29,Truck,Slight,Roundabout,Dry,Rural,Dark
89,2022-03-30,Bus,Serious,One way street,Wet,Urban,Daylight
90,2022-03-31,Cycle,Fatal,Slip road,Snow/Fog,Rural,Dark
91,2022-04-01,Car,Slight,Single carriageway,Dry,Urban,Daylight
92,2022-04-02,Bike,Serious,Dual carriageway,Wet,Rural,Dark
93,2022-04-03,Truck,Fatal,Roundabout,Snow/Fog,Urban,Daylight
94,2022-04-04,Bus,Slight,One way street,Dry,Rural,Dark
95,2022-04-05,Cycle,Serious,Slip road,Wet,Urban,Daylight
96,2022-04-06,Car,Fatal,Single carriageway,Snow/Fog,Rural,Dark
97,2022-04-07,Bike,Slight,Dual carriageway,Dry,Urban,Daylight
98,2022-04-08,Truck,Serious,Roundabout,Wet,Rural,Dark
99,2022-04-09,Bus,Fatal,One way street,Snow/Fog,Urban,Daylight
100,2022-04-10,Cycle,Slight,Slip road,Dry,Rural,Dark
